query,chunk_id
Can Company regulate how MA operates its business practices?,LC00001
What happens if Licensor grants more favorable VOD distribution terms to a third party?,LC00002
Who has the exclusive right to exercise program rights within the Licensed Territory?,LC00003
What type of license does Licensor grant for the reproduction and distribution of Licensed Content?,LC00004
What restrictions apply to Women.com regarding promoting Competitive Companies?,LC00005
Is eDiets allowed to display advertising from Competitive Companies during the term?,LC00006
What occurs if Integrity and TL are subject to lower free goods limits by a major label?,LC00007
Who holds the exclusive worldwide rights to promote and sell the product to retail accounts?,LC00008
What is the consequence of an Endorser's failure to disclose conflicting interests?,LC00009
Are there restrictions on Endorser and Lender promoting competitors during the agreement term?,LC00010
What efforts must the Company use to conduct its business according to the agreement?,LC00011
When does the Non-Competition Period terminate?,LC00012
Is Conformis prohibited from selling products outside the Territory?,LC00013
For how long after termination is Aucta restricted from research or development?,LC00014
What kind of license does Aucta grant to ETON for the Product?,LC00015
Can FCE conduct work using Generation 1 Technology in Canada?,LC00016
What does Reed's grant to the Company in exchange for its obligations?,LC00017
Can the Distributor act as a buying agent for third parties?,LC00018
How often can Prices and Volume Discount Prices be increased?,LC00019
What rights are granted to the Distributor under the Company's appointment?,LC00020
Is the Company allowed to contact the Distributor's customers?,LC00021
Can the Distributor market products that compete with the Company's products?,LC00022
Is the Distributor permitted to promote the sale of competing products?,LC00023
What type of license does Erchonia grant to the Distributor?,LC00024
What is the Distributor prohibited from doing regarding Erchonia's business judgment?,LC00025
What rights does Hydraspin grant to the Distributor?,LC00026
Can Talent endorse products that compete with the Company's products?,LC00027
What representation does Wade make regarding endorsing competing products?,LC00028
What restriction applies to Wade 90 days prior to the expiration of the term?,LC00029
Is the license granted to the party exclusive?,LC00030
What actions must the Franchisee avoid to protect the Franchisor's rights?,LC00031
Can a Party hire employees of the other Party without consent?,LC00032
How long after termination must the Parties refrain from soliciting each other's employees?,LC00033
What happens to the license grants if the Option is exercised before expiration?,LC00034
What exclusive right does the University grant to ArTara regarding regulatory filings?,LC00035
Who must approve communications with the NFL and its clubs?,LC00036
Does CytoDyn have the right to terminate the agreement upon written notice?,LC00037
What happens if an assignment to CytoDyn is found to be unlawful?,LC00038
How long does the non-solicitation restriction last after termination?,LC00039
Are the Contractor and Customer allowed to employ each other's employees?,LC00040
What license does Kitov grant to Dexcel for Confidential Information?,LC00041
What are the exclusivity terms during the Exclusivity Period on a SKU basis?,LC00042
Can the Manufacturer terminate its obligation to provide Technical Support?,LC00043
What type of license does Todos grant to the Reseller?,LC00044
Can Vertex sell the Product to customers for use in the Field?,LC00045
What is the duration of the post-termination restriction period?,LC00046
For how long after termination do the non-compete obligations persist?,LC00047
What does Exact agree to regarding Pfizer's compliance with Section 3.2(d)?,LC00048
Can Valeant or its Affiliates operate in the Territory?,LC00049
What rights does Dova grant to Valeant during the Term?,LC00050
Can Valeant or Dova directly or indirectly compete during the term?,LC00051
Can MMT commercialize any competing product in the Field?,LC00052
Are there any existing rights with respect to the Product or SIGA Trademarks as of the Effective Date?,LC00053
How long does the post-termination non-solicitation period last for employees?,LC00054
Can CHT enter into agreements with other distributors while the appointment is exclusive?,LC00055
When can the exclusive appointment and license be converted to non-exclusive?,LC00056
Does Channel Partner accept iPass as its exclusive service provider?,LC00057
Is Constellation allowed to represent products from other companies in the Territory?,LC00058
What is the restriction on making statements that result in defamation?,LC00059
Can Allied endorse other companies whose principal business is a specific activity?,LC00060
What covenant do the Parties make regarding communicating disparaging information?,LC00061
What rights does the Customer have regarding sourcing products from third parties?,LC00062
Who is appointed as the sole and exclusive agent for promotion and sale?,LC00063
What does the term 'AMI/MEA Agreement' refer to?,LC00064
How is an 'ACSI Competitor' defined in the agreement?,LC00065
Will the Parties issue a joint press release upon concluding the agreement?,LC00066
What can happen if the Company engages in behavior that is materially harmful to the other Party?,LC00067
Can i-Escrow run banner advertisements for competitors of 2TheMart?,LC00068
Can Snap grant sponsorship rights to third parties for products in the same category?,LC00069
Is advertising from a competitor allowed on the Co-Branded Site?,LC00070
Can HCI license or deliver content to any entity in the specified field?,LC00071
Are there restrictions on VerticalNet placing advertising for competitors?,LC00072
Who is responsible for hosting the Insurance Center?,LC00073
How quickly must Excite@Home respond to an Application Provider's written update?,LC00074
What happens if the Agreement is terminated due to e-centives' breach?,LC00075
Can VerticalNet enter into agreements with competitors of the other party?,LC00076
Is Neoforma allowed to place advertisements for competitors of VerticalNet?,LC00077
By when must Neoforma provide a copy of all Laboratory Products and services?,LC00078
Can PaperExchange design or host a competing exchange during the term?,LC00079
Does PaperExchange have the right to place advertisements for its own account?,LC00080
Will spinwares and spinstore be modified to include licensed content?,LC00081
What restrictions apply during the two-year period following the Effective Date?,LC00082
How long does the restriction on providing services to competitors last after the term?,LC00083
How must all Users be treated compared to other customers?,LC00084
Can the Company enter into agreements that involve exclusive arrangements with competitors?,LC00085
What restrictions apply to Network Affiliate and its affiliates during the Term?,LC00086
Are there exceptions to the exclusivity requirements for Network Affiliate?,LC00087
Can Network Affiliate solicit employees from NCM after the Term?,LC00088
Is Network Affiliate allowed to induce any Person to leave the employment of NCM?,LC00089
What conduct is Network Affiliate prohibited from engaging in regarding NCM Marks?,LC00090
Who has the exclusive right to market and sell AMR Product Suites?,LC00091
Can Marketing Affiliate market similar products from competing companies on its website?,LC00092
Is Marketing Affiliate allowed to solicit existing business customers of Equidate?,LC00093
Can the Affiliate sell commercial time to direct competitors of the Service?,LC00094
What happens if the Term is renewed regarding exclusive negotiations?,LC00095
How can the Agreement be terminated prior to the conclusion of the Term?,LC00096
Through whom must all Contractors process Merchant applications?,LC00097
What happens to recruited merchants upon termination of the contract?,LC00098
What representation does Theismann make regarding existing grants of his Identification?,LC00099
Can Auriemma enter into arrangements with Berkshire Competitors?,LC00100
What express agreement does Auriemma make regarding the use of his Identification?,LC00101
Can Berkshire terminate the agreement immediately if Auriemma breaches the contract?,LC00102
Can NFLA grant the right to use its Identification to others for similar products?,LC00103
What representation does Talent make regarding the rights granted to the Company?,LC00104
Can the Individual render similar services for competitors during the Term?,LC00105
Can North enter into agreements with competitors of the Company within the Territory?,LC00106
How should the Company and North deal with each other according to the agreement?,LC00107
Can Celebrity endorse products of any competitor during the Term?,LC00108
Can Aimmune research or develop the Antibody independently?,LC00109
What license does Xencor grant to Aimmune during the Term?,LC00110
Is the Developer allowed to market a platform similar to the Client's?,LC00111
What kind of license is granted to the Client if they consent to a similar platform?,LC00112
What restriction does the Client agree to regarding the Developer's employees?,LC00113
Can either Party solicit or hire the other Party's employees during the term?,LC00114
Does the exclusive license to the Licensee extend to all Improvements?,LC00115
How long is the non-solicitation period following the Effective Date?,LC00116
What covenant does the Developer make regarding other franchised businesses?,LC00117
What does the Developer acknowledge regarding the exclusive rights granted?,LC00118
Can Dr. Murray assist in the development of products competitive to the Company's?,LC00119
Who has exclusive rights to the ingredients and product specifications?,LC00120
Can Harpoon develop or commercialize products that compete with the Compound?,LC00121
What rights does Harpoon grant to the other party upon the License Option Exercise?,LC00122
Can T&B or its Affiliates use the Licensed Intellectual Property to compete?,LC00123
Is T&B allowed to grant licenses for the Intellectual Property to third parties?,LC00124
What are the restrictions on T&B using the Licensed IP during the Term?,LC00125
What happens if Licensed Products are sold to an Affiliate at a lower price?,LC00126
What type of license does the Licensor grant to the Licensee?,LC00127
Can SFJ or its Affiliates develop products that compete with the Product?,LC00128
What efforts must SFJ use to obtain IP assignments from Third Party contractors?,LC00129
Is the right to make products for internal research purposes restricted?,LC00130
Can RevMed research or develop products in the Field independently?,LC00131
What happens if Sanofi provides a Notice of Interest to RevMed?,LC00132
What is the nature of the appointment granted to Sekisui by Qualigen?,LC00133
Can Sekisui market or sell Products to customers outside the Territory?,LC00134
What happens if E-House Research and Training Institute becomes entitled to charge fees?,LC00135
What rights does the Licensor grant to the Licensee under the agreement?,LC00136
Can WPT authorize a Zynga Competitor to exploit the Licensed Property?,LC00137
What is Content Provider prohibited from doing during the Term in the Territory?,LC00138
What license does Pacificap Entertainment grant to the Licensee?,LC00139
Can Party B enter into cooperation agreements with third parties without consent?,LC00140
Are there specific companies listed as competitors in Attachment B?,LC00141
Is the license for Translated Content exclusive for display on the Open Free Web?,LC00142
On which channel will Oceanic Time Warner Cable use the content?,LC00143
What type of license does CEIS grant to XFN and its Affiliates?,LC00144
Can the Distributor represent other companies for similar products?,LC00145
Will other Distributors be appointed in the state before the Company is notified?,LC00146
How many days notice are required for termination by the Company under Section 12.2?,LC00147
From whom must the Distributor procure the Products?,LC00148
What are the procurement requirements for the Distributor?,LC00149
What claims or representations is the party restricted from making regarding the Products?,LC00150
